# code|name|quantity
226490|KODEX 코스피|40
277630|TIGER 코스피|0
229200|KODEX 코스닥150|100
232080|TIGER 코스닥150|0
233740|KODEX 코스닥150 레버리지|0
233160|TIGER 코스닥150 레버리지|0
102970|KODEX 증권|0
157500|TIGER 증권|0
0162Y0|TIME 코스닥액티브|0
0163Y0|KoAct 코스닥액티브|0
416090|ACE 중국과창판STAR50|0
283580|KODEX 차이나항셍테크|0
283580|KODEX 차이나CSI300|0
453810|KODEX 인도Nifty50|0
457480|ACE 테슬라밸류체인액티브|0
261220|KODEX WTI원유선물(H)|0
